Problem,Normal-Run,Zero-Shot,One-Shot,Two-Shot,Three-Shot,Four-Shot,Five-Shot
CURATOR-681,1,0,1,0,1,1,1
CURATOR-222,1,0,0,0,0,0,0
CURATOR-254,0,0,0,1,1,1,1
CURATOR-671,0,0,0,1,1,1,1
APEXCORE-453,0,1,1,1,1,1,1
APEXCORE-459,0,0,1,1,1,1,1
APEXCORE-403,1,1,1,1,1,1,1
COLLECTIONS-661,0,0,1,1,1,1,1
COLLECTIONS-812,0,0,1,1,1,1,1
COLLECTIONS-836,0,0,0,1,1,1,1
COLLECTIONS-850,0,0,0,1,1,1,1
COLLECTIONS-833,0,0,0,0,0,0,1
CAMEL-12025,0,1,1,1,1,1,1
CAMEL-18661,0,0,0,0,0,1,1
CAMEL-20028,1,1,1,1,1,1,1
CAMEL-19028,0,0,0,1,1,1,1
CAMEL-20098,0,0,0,1,1,1,1
CAMEL-9133,0,0,0,1,1,1,0
CAMEL-9136,0,0,0,0,1,1,1
CAMEL-19484,0,0,0,1,1,1,1
CAMEL-17188,0,0,1,1,0,1,1
CAMEL-528,0,0,0,1,1,1,1
CAMEL-17180,0,0,0,0,1,1,1
CAMEL-19741,0,0,0,0,1,1,1
ZOOKEEPER-4327,0,0,0,1,1,1,1
ZOOKEEPER-2355,0,0,1,1,1,1,1
ZOOKEEPER-4308,0,1,1,1,1,1,1
ZOOKEEPER-2683,0,0,0,1,1,1,1
ZOOKEEPER-4511,0,0,1,1,1,1,1
ZOOKEEPER-86,0,0,0,1,1,1,1
ZOOKEEPER-4251,0,0,0,1,1,1,1
ZOOKEEPER-3981,0,0,0,1,1,0,0
ZOOKEEPER-4204,0,0,0,1,1,1,1
ZOOKEEPER-01,1,1,1,0,0,0,0
ZOOKEEPER-02,1,1,1,1,1,1,1
ZOOKEEPER-03,1,1,1,1,1,1,1
ZOOKEEPER-04,1,1,1,1,1,1,1
ZOOKEEPER-05,1,1,1,1,1,1,1
ZOOKEEPER-06,1,1,1,1,1,1,1
ZOOKEEPER-07,1,1,1,1,1,1,1
ZOOKEEPER-4270,1,1,1,1,1,1,1
CXF-6583,0,0,1,1,1,0,1
CXF-3556,0,0,0,1,1,1,1
CXF-7051,0,0,1,1,0,0,0
WAGON-527,0,0,0,1,1,1,1
SPARK-23019,1,1,1,1,1,1,1
SPARK-23020,1,1,0,0,0,0,0
SPARK-14391,0,0,0,0,1,1,1
SPARK-10680,0,0,1,1,1,1,1
SPARK-10674,0,0,0,0,0,0,1
TEZ-1088,0,0,1,0,0,0,0
TEZ-2398,1,1,0,0,0,0,0
